S.No,CHK_ACCT,Duration,History,Purpose of credit,Credit Amount,Balance in Savings A/C,Employment,Install_rate,Marital status,S.No.,Co-applicant,Present Resident,Real Estate,Age,Other installment,Residence,Num_Credits,Job,No. dependents,Phone,Foreign,Credit classification
195,less-200DM,45, duly-till-now, radio-tv,3031, less500DM, four-years,4, single-male,195, guarantor,4, building-society,21, none, rent,1, skilled,1, yes, yes, bad.
196,less-200DM,9, critical, education,1501, less100DM, over-seven,2, female-divorced,196, none,3, car,34, none, own,2, management,1, no, yes, bad.
197,no-account,6, critical, radio-tv,1382, less100DM, four-years,1, female-divorced,197, none,1, car,28, none, own,2, skilled,1, no, yes, good.
198,less-200DM,12, duly-till-now, furniture,951, less500DM, one-year,4, female-divorced,198, none,4, car,27, bank, rent,4, skilled,1, yes, yes, bad.
199,less-200DM,24, duly-till-now, used-car,2760, unknown, over-seven,4, single-male,199, none,4, none,36, bank, free,1, skilled,1, no, yes, good.
200,less-200DM,18, delay, furniture,4297, less100DM, over-seven,4, male-divorced,200, none,3, none,40, none, own,1, management,1, no, yes, bad.
201,no-account,9, critical, education,936, less1000DM, over-seven,4, single-male,201, none,2, car,52, none, own,2, skilled,1, no, yes, good.
202,0DM,12, duly-till-now, new-car,1168, less100DM, four-years,4, married-male,202, none,3, real-estate,27, none, own,1, unskilled-resident,1, yes, yes, good.
203,no-account,27, delay, business,5117, less100DM, seven-years,3, single-male,203, none,4, car,26, none, own,2, skilled,1, yes, yes, good.
204,0DM,12, duly-till-now, retraining,902, less100DM, seven-years,4, married-male,204, none,4, building-society,21, none, rent,1, skilled,1, yes, yes, bad.
205,no-account,12, critical, new-car,1495, less100DM, over-seven,4, single-male,205, none,1, real-estate,38, none, own,2, unskilled-resident,2, yes, yes, good.
206,0DM,30, critical, used-car,10623, less100DM, over-seven,3, single-male,206, none,4, none,38, none, free,3, management,2, no, yes, good.
207,no-account,12, critical, furniture,1935, less100DM, over-seven,4, single-male,207, none,4, real-estate,43, none, own,3, skilled,1, no, yes, good.
208,less-200DM,12, critical, domestic-app,1424, less100DM, seven-years,4, single-male,208, none,3, building-society,26, none, own,1, skilled,1, yes, yes, good.
209,0DM,24, duly-till-now, business,6568, less100DM, four-years,2, married-male,209, none,2, car,21, stores, own,1, unskilled-resident,1, yes, yes, good.
210,no-account,12, duly-till-now, used-car,1413, over1000DM, seven-years,3, single-male,210, none,2, building-society,55, none, own,1, skilled,1, yes, no, good.
211,no-account,9, critical, radio-tv,3074, unknown, four-years,1, single-male,211, none,2, real-estate,33, none, own,2, skilled,2, yes, yes, good.
212,no-account,36, duly-till-now, radio-tv,3835, unknown, over-seven,2, female-divorced,212, none,4, real-estate,45, none, own,1, unskilled-resident,1, no, yes, good.
213,0DM,27, all-paid-duly, business,5293, less100DM, unemployed,2, single-male,213, none,4, building-society,50, stores, own,2, skilled,1, no, yes, bad.
214,over-200DM,30, delay, business,1908, less100DM, over-seven,4, single-male,214, none,4, real-estate,66, none, own,1, management,1, no, yes, bad.
215,no-account,36, critical, radio-tv,3342, unknown, over-seven,4, single-male,215, none,2, car,51, none, own,1, skilled,1, no, yes, good.
216,less-200DM,6, critical, retraining,932, unknown, seven-years,1, female-divorced,216, none,3, building-society,39, none, own,2, unskilled-resident,1, yes, yes, good.
217,0DM,18, all-paid-duly, business,3104, less100DM, seven-years,3, single-male,217, none,1, building-society,31, bank, own,1, skilled,1, no, yes, good.
218,over-200DM,36, duly-till-now, radio-tv,3913, less100DM, four-years,2, single-male,218, none,2, real-estate,23, none, own,1, skilled,1, no, yes, good.
219,0DM,24, duly-till-now, furniture,3021, less100DM, four-years,2, male-divorced,219, none,2, real-estate,24, none, rent,1, unskilled-resident,1, yes, yes, good.
220,no-account,10, duly-till-now, new-car,1364, less100DM, four-years,2, female-divorced,220, none,4, car,64, none, own,1, skilled,1, no, yes, good.
221,less-200DM,12, duly-till-now, radio-tv,625, less100DM, one-year,4, married-male,221, guarantor,1, real-estate,26, bank, own,1, unskilled-resident,1, yes, yes, good.
222,0DM,12, duly-till-now, education,1200, unknown, four-years,4, female-divorced,222, none,4, building-society,23, bank, rent,1, skilled,1, no, yes, good.
223,no-account,12, duly-till-now, radio-tv,707, less100DM, four-years,4, single-male,223, none,2, real-estate,30, bank, own,2, skilled,1, yes, yes, good.
224,no-account,24, delay, business,2978, unknown, four-years,4, single-male,224, none,4, real-estate,32, none, own,2, skilled,2, no, yes, good.
225,no-account,15, duly-till-now, used-car,4657, less100DM, four-years,3, single-male,225, none,2, car,30, none, own,1, skilled,1, no, yes, good.
226,no-account,36, all-paid-duly, repairs,2613, less100DM, four-years,4, single-male,226, none,2, car,27, none, own,2, skilled,1, yes, yes, good.
227,less-200DM,48, duly-till-now, radio-tv,10961, over1000DM, seven-years,1, single-male,227, co-applicant,2, none,27, bank, own,2, skilled,1, no, yes, bad.
228,0DM,12, duly-till-now, furniture,7865, less100DM, over-seven,4, single-male,228, none,4, none,53, none, free,1, management,1, no, yes, bad.
229,no-account,9, duly-till-now, radio-tv,1478, less100DM, seven-years,4, single-male,229, none,2, car,22, none, own,1, skilled,1, yes, yes, bad.
230,0DM,24, duly-till-now, furniture,3149, less100DM, one-year,4, single-male,230, none,1, none,22, bank, free,1, skilled,1, yes, yes, good.
231,over-200DM,36, duly-till-now, radio-tv,4210, less100DM, four-years,4, single-male,231, none,2, car,26, none, own,1, skilled,1, yes, yes, bad.
232,no-account,9, duly-till-now, new-car,2507, less1000DM, over-seven,2, single-male,232, none,4, none,51, none, free,1, unskilled-resident,1, yes, yes, good.
233,no-account,12, duly-till-now, radio-tv,2141, less500DM, seven-years,3, single-male,233, none,1, none,35, none, own,1, skilled,1, yes, yes, good.
234,less-200DM,18, duly-till-now, radio-tv,866, less100DM, four-years,4, married-male,234, guarantor,2, real-estate,25, none, own,1, unskilled-resident,1, yes, yes, good.
235,no-account,4, critical, radio-tv,1544, less100DM, seven-years,2, single-male,235, none,1, real-estate,42, none, own,3, unskilled-resident,2, yes, yes, good.
236,0DM,24, duly-till-now, radio-tv,1823, less100DM, unemployed,4, single-male,236, none,2, car,30, stores, own,1, management,2, yes, yes, bad.
237,less-200DM,6, duly-till-now, new-car,14555, unknown, unemployed,1, single-male,237, none,2, building-society,23, none, own,1, unemployed-non-resident,1, no, yes, bad.
238,less-200DM,21, duly-till-now, business,2767, less500DM, over-seven,4, male-divorced,238, none,2, car,61, bank, rent,2, unskilled-resident,1, yes, yes, bad.
239,no-account,12, critical, radio-tv,1291, less100DM, four-years,4, female-divorced,239, none,2, building-society,35, none, own,2, skilled,1, yes, yes, good.
240,0DM,30, duly-till-now, radio-tv,2522, less100DM, over-seven,1, single-male,240, guarantor,3, building-society,39, none, own,1, skilled,2, yes, yes, good.
241,0DM,24, duly-till-now, new-car,915, unknown, over-seven,4, female-divorced,241, none,2, car,29, bank, own,1, skilled,1, yes, yes, bad.
242,no-account,6, duly-till-now, radio-tv,1595, less100DM, seven-years,3, single-male,242, none,2, building-society,51, none, own,1, skilled,2, yes, yes, good.
243,0DM,48, all-paid-duly, used-car,4605, less100DM, over-seven,3, single-male,243, none,4, none,24, none, free,2, skilled,2, yes, yes, bad.
244,no-account,12, critical, business,1185, less100DM, four-years,3, female-divorced,244, none,2, real-estate,27, none, own,2, skilled,1, yes, yes, good.
245,no-account,12, bank-paid-duly, retraining,3447, less1000DM, four-years,4, female-divorced,245, none,3, real-estate,35, none, own,1, unskilled-resident,2, yes, yes, good.
246,no-account,24, duly-till-now, business,1258, less100DM, seven-years,4, single-male,246, none,1, real-estate,25, none, own,1, skilled,1, no, yes, good.
247,no-account,12, critical, radio-tv,717, less100DM, over-seven,4, single-male,247, none,4, real-estate,52, none, own,3, skilled,1, yes, yes, good.
248,no-account,6, all-paid-duly, new-car,1204, less500DM, four-years,4, single-male,248, none,1, none,35, bank, rent,1, skilled,1, yes, no, good.
249,over-200DM,24, duly-till-now, furniture,1925, less100DM, four-years,2, single-male,249, none,2, real-estate,26, none, own,1, skilled,1, yes, yes, good.
250,no-account,18, duly-till-now, radio-tv,433, less100DM, unemployed,3, female-divorced,250, co-applicant,4, real-estate,22, none, rent,1, skilled,1, yes, yes, bad.
251,0DM,6, critical, new-car,666, over1000DM, seven-years,3, female-divorced,251, none,4, real-estate,39, none, own,2, unskilled-resident,1, no, yes, good.
252,over-200DM,12, duly-till-now, furniture,2251, less100DM, four-years,1, female-divorced,252, none,2, car,46, none, own,1, unskilled-resident,1, yes, yes, good.
253,less-200DM,30, duly-till-now, new-car,2150, less100DM, four-years,4, female-divorced,253, guarantor,2, none,24, bank, own,1, skilled,1, yes, yes, bad.
254,no-account,24, delay, furniture,4151, less500DM, four-years,2, single-male,254, none,3, building-society,35, none, own,2, skilled,1, yes, yes, good.
255,less-200DM,9, duly-till-now, furniture,2030, unknown, seven-years,2, single-male,255, none,1, car,24, none, own,1, skilled,1, no, yes, good.
256,less-200DM,60, delay, radio-tv,7418, unknown, four-years,1, single-male,256, none,1, real-estate,27, none, own,1, unskilled-resident,1, yes, yes, good.
257,no-account,24, critical, radio-tv,2684, less100DM, four-years,4, single-male,257, none,2, real-estate,35, none, own,2, unskilled-resident,1, yes, yes, good.
258,0DM,12, bank-paid-duly, radio-tv,2149, less100DM, four-years,4, male-divorced,258, none,1, none,29, none, free,1, skilled,1, yes, yes, bad.
259,no-account,15, duly-till-now, used-car,3812, less500DM, one-year,1, female-divorced,259, none,4, car,23, none, own,1, skilled,1, no, yes, good.
260,no-account,11, critical, radio-tv,1154, less500DM, unemployed,4, female-divorced,260, none,4, real-estate,57, none, own,3, unskilled-resident,1, yes, yes, good.
261,0DM,12, duly-till-now, furniture,1657, less100DM, four-years,2, single-male,261, none,2, real-estate,27, none, own,1, skilled,1, yes, yes, good.
262,0DM,24, duly-till-now, radio-tv,1603, less100DM, over-seven,4, female-divorced,262, none,4, car,55, none, own,1, skilled,1, yes, yes, good.
263,0DM,18, critical, new-car,5302, less100DM, over-seven,2, single-male,263, none,4, none,36, none, free,3, management,1, no, yes, good.
264,no-account,12, critical, education,2748, less100DM, over-seven,2, female-divorced,264, none,4, none,57, bank, free,3, unskilled-resident,1, yes, yes, good.
265,no-account,10, critical, new-car,1231, less100DM, over-seven,3, single-male,265, none,4, real-estate,32, none, own,2, unskilled-resident,2, yes, no, good.
266,less-200DM,15, duly-till-now, radio-tv,802, less100DM, over-seven,4, single-male,266, none,3, car,37, none, own,1, skilled,2, yes, yes, bad.
267,no-account,36, critical, business,6304, unknown, over-seven,4, single-male,267, none,4, real-estate,36, none, own,2, skilled,1, yes, yes, good.
268,no-account,24, duly-till-now, radio-tv,1533, less100DM, one-year,4, female-divorced,268, none,3, car,38, stores, own,1, skilled,1, no, yes, good.
269,0DM,14, duly-till-now, new-car,8978, less100DM, over-seven,1, male-divorced,269, none,4, building-society,45, none, own,1, management,1, no, no, bad.
270,no-account,24, duly-till-now, radio-tv,999, unknown, over-seven,4, single-male,270, none,2, car,25, none, own,2, skilled,1, yes, yes, good.
271,no-account,18, duly-till-now, new-car,2662, unknown, seven-years,4, single-male,271, none,3, building-society,32, none, own,1, skilled,1, yes, no, good.
272,no-account,12, critical, furniture,1402, less1000DM, seven-years,3, female-divorced,272, none,4, car,37, none, rent,1, skilled,1, no, yes, good.
273,less-200DM,48, bank-paid-duly, new-car,12169, unknown, unemployed,4, single-male,273, co-applicant,4, none,36, none, free,1, management,1, no, yes, good.
274,less-200DM,48, duly-till-now, radio-tv,3060, less100DM, seven-years,4, single-male,274, none,4, real-estate,28, none, own,2, skilled,1, yes, yes, bad.
275,0DM,30, duly-till-now, repairs,11998, less100DM, one-year,1, male-divorced,275, none,1, none,34, none, own,1, unskilled-resident,1, no, yes, bad.
276,no-account,9, duly-till-now, radio-tv,2697, less100DM, four-years,1, single-male,276, none,2, real-estate,32, none, own,1, skilled,2, yes, yes, good.
277,no-account,18, critical, radio-tv,2404, less100DM, four-years,2, female-divorced,277, none,2, car,26, none, own,2, skilled,1, yes, yes, good.
278,0DM,12, duly-till-now, furniture,1262, unknown, over-seven,2, male-divorced,278, none,4, building-society,49, none, own,1, unskilled-resident,1, no, yes, good.
279,no-account,6, duly-till-now, furniture,4611, less100DM, one-year,1, female-divorced,279, none,4, building-society,32, none, own,1, skilled,1, yes, yes, bad.
280,no-account,24, duly-till-now, radio-tv,1901, less500DM, four-years,4, single-male,280, none,4, car,29, none, rent,1, management,1, no, yes, good.
281,no-account,15, critical, used-car,3368, over1000DM, over-seven,3, single-male,281, none,4, none,23, none, rent,2, skilled,1, no, yes, good.
282,no-account,12, duly-till-now, furniture,1574, less100DM, four-years,4, single-male,282, none,2, real-estate,50, none, own,1, skilled,1, yes, yes, good.
283,over-200DM,18, bank-paid-duly, radio-tv,1445, unknown, seven-years,4, single-male,283, none,4, car,49, bank, own,1, unskilled-resident,1, yes, yes, good.
284,no-account,15, critical, furniture,1520, unknown, over-seven,4, single-male,284, none,4, building-society,63, none, own,1, skilled,1, yes, yes, good.
285,less-200DM,24, critical, new-car,3878, less500DM, one-year,4, male-divorced,285, none,2, car,37, none, own,1, skilled,1, no, yes, good.
286,0DM,47, duly-till-now, new-car,10722, less100DM, one-year,1, female-divorced,286, none,1, real-estate,35, none, own,1, unskilled-resident,1, no, yes, good.
287,0DM,48, duly-till-now, used-car,4788, less100DM, seven-years,4, single-male,287, none,3, building-society,26, none, own,1, skilled,2, yes, yes, good.
288,less-200DM,48, delay, others,7582, less500DM, unemployed,2, single-male,288, none,4, none,31, none, free,1, management,1, no, yes, good.
289,less-200DM,12, duly-till-now, radio-tv,1092, less100DM, four-years,4, female-divorced,289, guarantor,4, real-estate,49, none, own,2, skilled,1, no, yes, good.
290,0DM,24, delay, radio-tv,1024, less100DM, one-year,4, married-male,290, none,4, real-estate,48, stores, own,1, skilled,1, yes, yes, bad.
291,no-account,12, duly-till-now, business,1076, less100DM, four-years,2, married-male,291, none,2, real-estate,26, none, own,1, skilled,1, no, no, good.
292,less-200DM,36, duly-till-now, used-car,9398, less100DM, one-year,1, married-male,292, none,4, car,28, none, rent,1, management,1, no, yes, bad.
293,0DM,24, critical, used-car,6419, less100DM, over-seven,2, female-divorced,293, none,4, none,44, none, free,2, management,2, no, yes, good.
294,over-200DM,42, critical, used-car,4796, less100DM, over-seven,4, single-male,294, none,4, none,56, none, free,1, skilled,1, yes, yes, good.
295,no-account,48, critical, business,7629, unknown, over-seven,4, male-divorced,295, none,2, car,46, bank, own,2, management,2, yes, yes, good.
296,less-200DM,48, duly-till-now, furniture,9960, less100DM, one-year,1, female-divorced,296, none,2, car,26, none, own,1, skilled,1, no, yes, bad.
297,no-account,12, duly-till-now, used-car,4675, unknown, one-year,1, female-divorced,297, none,4, car,20, none, rent,1, skilled,1, yes, yes, good.
298,no-account,10, duly-till-now, new-car,1287, unknown, over-seven,4, single-male,298, co-applicant,2, building-society,45, none, own,1, unskilled-resident,1, yes, no, good.
299,no-account,18, duly-till-now, furniture,2515, less100DM, four-years,3, single-male,299, none,4, real-estate,43, none, own,1, skilled,1, no, yes, good.
300,less-200DM,21, critical, furniture,2745, over1000DM, seven-years,3, single-male,300, none,2, car,32, none, own,2, skilled,1, no, yes, good.
301,no-account,6, duly-till-now, new-car,672, less100DM, unemployed,1, female-divorced,301, none,4, real-estate,54, none, own,1, unemployed-non-resident,1, no, yes, good.
302,less-200DM,36, all-paid-duly, radio-tv,3804, less100DM, four-years,4, female-divorced,302, none,1, car,42, none, own,1, skilled,1, no, yes, bad.
303,over-200DM,24, critical, new-car,1344, unknown, seven-years,4, single-male,303, none,2, real-estate,37, bank, own,2, unskilled-resident,2, yes, yes, bad.
304,0DM,10, critical, new-car,1038, less100DM, seven-years,4, single-male,304, co-applicant,3, building-society,49, none, own,2, skilled,1, no, yes, good.
305,no-account,48, critical, new-car,10127, less1000DM, four-years,2, single-male,305, none,2, none,44, bank, free,1, skilled,1, yes, yes, bad.
306,no-account,6, duly-till-now, furniture,1543, over1000DM, four-years,4, male-divorced,306, none,2, real-estate,33, none, own,1, skilled,1, yes, yes, good.
307,no-account,30, duly-till-now, used-car,4811, unknown, seven-years,2, female-divorced,307, none,4, building-society,24, stores, rent,1, unskilled-resident,1, yes, yes, good.
308,0DM,12, duly-till-now, radio-tv,727, less500DM, one-year,4, married-male,308, none,3, none,33, none, own,1, unskilled-resident,1, no, yes, bad.
309,less-200DM,8, duly-till-now, furniture,1237, less100DM, four-years,3, female-divorced,309, none,4, real-estate,24, none, own,1, skilled,1, yes, yes, bad.
310,less-200DM,9, duly-till-now, new-car,276, less100DM, four-years,4, married-male,310, none,4, real-estate,22, none, rent,1, unskilled-resident,1, yes, yes, good.
311,less-200DM,48, duly-till-now, others,5381, unknown, unemployed,3, single-male,311, none,4, none,40, bank, free,1, unemployed-non-resident,1, no, yes, good.
312,no-account,24, duly-till-now, furniture,5511, less500DM, four-years,4, single-male,312, none,1, car,25, stores, own,1, skilled,1, yes, yes, good.
313,over-200DM,24, duly-till-now, furniture,3749, less100DM, one-year,2, female-divorced,313, none,4, car,26, none, own,1, skilled,1, yes, yes, good.
314,less-200DM,12, duly-till-now, new-car,685, less100DM, seven-years,2, married-male,314, none,3, car,25, bank, own,1, unskilled-resident,1, yes, yes, bad.
315,over-200DM,4, duly-till-now, new-car,1494, unknown, one-year,1, single-male,315, none,2, real-estate,29, none, own,1, unskilled-resident,2, yes, no, good.
316,0DM,36, bank-paid-duly, furniture,2746, less100DM, over-seven,4, single-male,316, none,4, car,31, bank, own,1, skilled,1, yes, yes, bad.
317,0DM,12, duly-till-now, furniture,708, less100DM, four-years,2, single-male,317, guarantor,3, building-society,38, none, own,1, unskilled-resident,2, yes, yes, good.
318,less-200DM,24, duly-till-now, furniture,4351, unknown, four-years,1, female-divorced,318, none,4, building-society,48, none, own,1, unskilled-resident,1, no, yes, good.
319,no-account,12, critical, education,701, less100DM, four-years,4, single-male,319, none,2, car,32, none, own,2, skilled,1, yes, yes, good.
320,0DM,15, delay, furniture,3643, less100DM, over-seven,1, female-divorced,320, none,4, building-society,27, none, own,2, unskilled-resident,1, yes, yes, good.
321,less-200DM,30, critical, new-car,4249, less100DM, unemployed,4, married-male,321, none,2, car,28, none, own,2, management,1, yes, yes, bad.
322,0DM,24, duly-till-now, radio-tv,1938, less100DM, one-year,4, male-divorced,322, none,3, building-society,32, none, own,1, skilled,1, yes, yes, bad.
323,0DM,24, duly-till-now, used-car,2910, less100DM, seven-years,2, single-male,323, none,1, none,34, none, free,1, management,1, no, yes, good.
324,0DM,18, duly-till-now, furniture,2659, over1000DM, four-years,4, single-male,324, none,2, car,28, none, own,1, skilled,1, yes, yes, good.
325,no-account,18, critical, new-car,1028, less100DM, four-years,4, female-divorced,325, none,3, real-estate,36, none, own,2, skilled,1, yes, yes, good.
326,0DM,8, critical, new-car,3398, less100DM, seven-years,1, single-male,326, none,4, real-estate,39, none, own,2, unskilled-resident,1, yes, no, good.
327,no-account,12, critical, furniture,5801, unknown, over-seven,2, single-male,327, none,4, building-society,49, none, rent,1, skilled,1, no, yes, good.
328,no-account,24, duly-till-now, new-car,1525, over1000DM, seven-years,4, female-divorced,328, none,3, car,34, none, own,1, skilled,2, no, yes, good.
329,over-200DM,36, duly-till-now, radio-tv,4473, less100DM, over-seven,4, single-male,329, none,2, car,31, none, own,1, skilled,1, yes, yes, good.
330,less-200DM,6, duly-till-now, radio-tv,1068, less100DM, over-seven,4, single-male,330, none,4, car,28, none, own,1, skilled,2, yes, yes, good.
331,0DM,24, critical, used-car,6615, less100DM, unemployed,2, single-male,331, none,4, none,75, none, free,2, management,1, no, yes, good.
332,no-account,18, critical, education,1864, less500DM, four-years,4, female-divorced,332, none,2, real-estate,30, none, own,2, skilled,1, yes, yes, bad.
333,less-200DM,60, duly-till-now, new-car,7408, less500DM, one-year,4, female-divorced,333, none,2, building-society,24, none, own,1, management,1, yes, yes, bad.
334,no-account,48, critical, used-car,11590, less500DM, four-years,2, female-divorced,334, none,4, car,24, bank, rent,2, unskilled-resident,1, yes, yes, bad.
335,0DM,24, all-paid-duly, furniture,4110, less100DM, over-seven,3, single-male,335, none,4, none,23, bank, rent,2, skilled,2, yes, yes, bad.
336,0DM,6, critical, furniture,3384, less100DM, four-years,1, male-divorced,336, none,4, real-estate,44, none, rent,1, management,1, no, yes, bad.
337,less-200DM,13, duly-till-now, radio-tv,2101, less100DM, one-year,2, female-divorced,337, guarantor,4, building-society,23, none, own,1, unskilled-resident,1, yes, yes, good.
338,0DM,15, duly-till-now, domestic-app,1275, unknown, four-years,4, female-divorced,338, none,2, car,24, none, rent,1, skilled,1, yes, yes, bad.
339,0DM,24, duly-till-now, furniture,4169, less100DM, four-years,4, single-male,339, none,4, building-society,28, none, own,1, skilled,1, yes, yes, good.
340,less-200DM,10, duly-till-now, furniture,1521, less100DM, four-years,4, male-divorced,340, none,2, car,31, none, own,1, unskilled-resident,1, yes, yes, good.
341,less-200DM,24, critical, education,5743, less100DM, one-year,2, female-divorced,341, none,4, none,24, none, free,2, skilled,1, no, yes, good.
342,0DM,21, duly-till-now, furniture,3599, less100DM, seven-years,1, female-divorced,342, none,4, car,26, none, rent,1, unskilled-resident,1, yes, yes, good.
343,less-200DM,18, duly-till-now, radio-tv,3213, less1000DM, one-year,1, married-male,343, none,3, real-estate,25, none, rent,1, skilled,1, yes, yes, good.
344,less-200DM,18, duly-till-now, business,4439, less100DM, over-seven,1, single-male,344, co-applicant,1, real-estate,33, bank, own,1, management,1, no, yes, good.
345,over-200DM,10, duly-till-now, new-car,3949, less100DM, one-year,1, single-male,345, guarantor,1, building-society,37, none, own,1, unskilled-resident,2, yes, yes, good.
346,no-account,15, critical, radio-tv,1459, less100DM, four-years,4, female-divorced,346, none,2, car,43, none, own,1, unskilled-resident,1, yes, yes, good.
347,less-200DM,13, critical, radio-tv,882, less100DM, one-year,4, single-male,347, guarantor,4, real-estate,23, none, own,2, skilled,1, yes, yes, good.
348,less-200DM,24, duly-till-now, radio-tv,3758, less1000DM, unemployed,1, female-divorced,348, none,4, none,23, none, rent,1, unemployed-non-resident,1, yes, yes, good.
349,no-account,6, delay, business,1743, less500DM, four-years,1, single-male,349, none,2, real-estate,34, none, own,2, unskilled-resident,1, yes, yes, good.
350,less-200DM,9, critical, education,1136, over1000DM, over-seven,4, single-male,350, none,3, none,32, none, free,2, skilled,2, yes, yes, bad.
351,no-account,9, duly-till-now, domestic-app,1236, less100DM, one-year,1, female-divorced,351, none,4, real-estate,23, none, rent,1, skilled,1, no, yes, good.
352,less-200DM,9, duly-till-now, furniture,959, less100DM, four-years,1, female-divorced,352, none,2, car,29, none, own,1, skilled,1, yes, no, bad.
353,no-account,18, critical, used-car,3229, unknown, unemployed,2, single-male,353, none,4, none,38, none, own,1, management,1, no, yes, good.
354,0DM,12, all-paid-duly, radio-tv,6199, less100DM, four-years,4, single-male,354, none,2, building-society,28, none, rent,2, skilled,1, no, yes, bad.
355,no-account,10, duly-till-now, education,727, less1000DM, over-seven,4, single-male,355, none,4, none,46, none, free,1, skilled,1, no, yes, good.
356,less-200DM,24, duly-till-now, new-car,1246, less100DM, one-year,4, single-male,356, none,2, real-estate,23, stores, own,1, unskilled-resident,1, yes, yes, bad.
357,no-account,12, critical, radio-tv,2331, unknown, over-seven,1, single-male,357, co-applicant,4, real-estate,49, none, own,1, skilled,1, no, yes, good.
358,no-account,36, delay, radio-tv,4463, less100DM, four-years,4, single-male,358, none,2, car,26, none, own,2, management,1, no, yes, bad.
359,no-account,12, duly-till-now, radio-tv,776, less100DM, four-years,4, married-male,359, none,2, real-estate,28, none, own,1, skilled,1, yes, yes, good.
360,0DM,30, duly-till-now, furniture,2406, less100DM, seven-years,4, female-divorced,360, none,4, real-estate,23, none, rent,1, skilled,1, yes, yes, bad.
361,less-200DM,18, duly-till-now, education,1239, unknown, four-years,4, single-male,361, none,4, none,61, none, free,1, skilled,1, yes, yes, good.
362,over-200DM,12, duly-till-now, radio-tv,3399, unknown, over-seven,2, single-male,362, none,3, car,37, none, own,1, management,1, yes, yes, good.
363,over-200DM,12, delay, new-car,2247, less100DM, four-years,2, female-divorced,363, none,2, car,36, stores, own,2, skilled,1, no, yes, good.
364,no-account,6, duly-till-now, furniture,1766, less100DM, four-years,1, married-male,364, none,2, building-society,21, none, rent,1, skilled,1, yes, yes, good.
365,0DM,18, duly-till-now, furniture,2473, less100DM, unemployed,4, single-male,365, none,1, car,25, none, own,1, unemployed-non-resident,1, yes, yes, bad.
366,no-account,12, duly-till-now, business,1542, less100DM, seven-years,2, single-male,366, none,4, car,36, none, own,1, skilled,1, no, yes, good.
367,no-account,18, critical, used-car,3850, less100DM, seven-years,3, single-male,367, none,1, car,27, none, own,2, skilled,1, yes, yes, good.
368,0DM,18, duly-till-now, furniture,3650, less100DM, one-year,1, female-divorced,368, none,4, car,22, none, rent,1, skilled,1, yes, yes, good.
369,0DM,36, duly-till-now, furniture,3446, less100DM, over-seven,4, single-male,369, none,2, car,42, none, own,1, skilled,2, yes, yes, bad.
370,less-200DM,18, duly-till-now, furniture,3001, less100DM, seven-years,2, female-divorced,370, none,4, real-estate,40, none, rent,1, skilled,1, yes, yes, good.
371,no-account,36, duly-till-now, new-car,3079, unknown, four-years,4, single-male,371, none,4, real-estate,36, none, own,1, skilled,1, yes, yes, good.
372,no-account,18, critical, radio-tv,6070, less100DM, over-seven,3, single-male,372, none,4, car,33, none, own,2, skilled,1, no, yes, good.
373,no-account,10, critical, furniture,2146, less100DM, one-year,1, female-divorced,373, none,3, real-estate,23, none, rent,2, skilled,1, yes, yes, good.
374,no-account,60, critical, new-car,13756, unknown, over-seven,2, single-male,374, none,4, none,63, bank, free,1, management,1, no, yes, good.
375,less-200DM,60, bank-paid-duly, others,14782, less500DM, over-seven,3, female-divorced,375, none,4, none,60, bank, free,2, management,1, no, yes, bad.
376,0DM,48, bank-paid-duly, business,7685, less100DM, seven-years,2, female-divorced,376, guarantor,4, car,37, none, rent,1, skilled,1, yes, yes, bad.
377,no-account,18, delay, radio-tv,2320, less100DM, unemployed,2, married-male,377, none,3, real-estate,34, none, own,2, skilled,1, yes, yes, good.
378,no-account,7, delay, radio-tv,846, unknown, over-seven,3, single-male,378, none,4, none,36, none, free,1, skilled,1, yes, yes, good.
379,less-200DM,36, duly-till-now, new-car,14318, less100DM, over-seven,4, single-male,379, none,2, none,57, none, free,1, management,1, no, yes, bad.
380,no-account,6, critical, new-car,362, less500DM, four-years,4, female-divorced,380, none,4, car,52, none, own,2, unskilled-resident,1, yes, yes, good.
381,0DM,20, duly-till-now, furniture,2212, unknown, seven-years,4, single-male,381, none,4, car,39, none, own,1, skilled,1, no, yes, good.
382,less-200DM,18, duly-till-now, used-car,12976, less100DM, unemployed,3, female-divorced,382, none,4, none,38, none, free,1, management,1, no, yes, bad.
383,no-account,22, duly-till-now, new-car,1283, unknown, seven-years,4, female-divorced,383, none,4, building-society,25, none, rent,1, skilled,1, yes, yes, good.
384,over-200DM,12, duly-till-now, new-car,1330, less100DM, one-year,4, single-male,384, none,1, real-estate,26, none, own,1, skilled,1, yes, yes, good.
385,no-account,30, delay, business,4272, less500DM, four-years,2, single-male,385, none,2, building-society,26, none, own,2, unskilled-resident,1, yes, yes, good.
386,no-account,18, critical, radio-tv,2238, less100DM, four-years,2, female-divorced,386, none,1, car,25, none, own,2, skilled,1, yes, yes, good.
387,no-account,18, duly-till-now, radio-tv,1126, unknown, one-year,4, female-divorced,387, none,2, real-estate,21, none, rent,1, skilled,1, no, yes, good.
388,less-200DM,18, critical, furniture,7374, less100DM, unemployed,4, single-male,388, none,4, building-society,40, stores, own,2, management,1, no, yes, good.
